Course No., Section No., Instructor, Seats, Open, Waitlist, Days, Time, Bldg., Room No.
CMSC100, 0101, Charles Kassir, 45, 4, 0, M, 4:00pm - 4:50pm, CSI, 2117
CMSC106, 0101, Jianwu Wang, 45, 0, 5, TuTh, 9:30am - 10:45am, CSI, 2117
CMSC131, 0101, Evan Golub, 31, 0, 0, MWF, 2:00pm - 2:50pm, CSI, 1115
CMSC131, 0102, Evan Golub, 31, 0, 0, MWF, 2:00pm - 2:50pm, CSI, 1115
CMSC131, 0103, Evan Golub, 31, 1, 0, MWF, 2:00pm - 2:50pm, CSI, 1115
CMSC131, 0104, Evan Golub, 31, 1, 0, MWF, 2:00pm - 2:50pm, CSI, 1115
CMSC131, 0201, Evan Golub, 31, 1, 0, MWF, 3:00pm - 3:50pm, CSI, 1115
CMSC131, 0202, Evan Golub, 31, 1, 0, MWF, 3:00pm - 3:50pm, CSI, 1115
CMSC131, 0203, Evan Golub, 31, 0, 0, MWF, 3:00pm - 3:50pm, CSI, 1115
CMSC131, 0204, Evan Golub, 31, 0, 1, MWF, 3:00pm - 3:50pm, CSI, 1115
CMSC131, 0301, Thomas Reinhardt, 31, 0, 0, MWF, 11:00am - 11:50am, CSI, 1115
CMSC131, 0302, Thomas Reinhardt, 31, 0, 0, MWF, 11:00am - 11:50am, CSI, 1115
CMSC131, 0303, Thomas Reinhardt, 31, 0, 0, MWF, 11:00am - 11:50am, CSI, 1115
CMSC131, 0304, Thomas Reinhardt, 31, 0, 0, MWF, 11:00am - 11:50am, CSI, 1115
CMSC131, 0401, Thomas Reinhardt, 31, 0, 0, MWF, 12:00pm - 12:50pm, CSI, 1115
CMSC131, 0402, Thomas Reinhardt, 31, 7, 0, MWF, 12:00pm - 12:50pm, CSI, 1115
CMSC131, 0403, Thomas Reinhardt, 31, 0, 0, MWF, 12:00pm - 12:50pm, CSI, 1115
CMSC131, 0404, Thomas Reinhardt, 31, 7, 0, MWF, 12:00pm - 12:50pm, CSI, 1115
CMSC132, 0101, Laurence Herman, 34, 0, 2, MWF, 10:00am - 10:50am, CSI, 1115
CMSC132, 0102, Laurence Herman, 34, 0, 0, MWF, 10:00am - 10:50am, CSI, 1115
CMSC132, 0103, Laurence Herman, 34, 0, 0, MWF, 10:00am - 10:50am, CSI, 1115
CMSC132, 0104, Laurence Herman, 34, 0, 2, MWF, 10:00am - 10:50am, CSI, 1115
CMSC132, 0201, Laurence Herman, 34, 6, 0, MWF, 1:00pm - 1:50pm, CSI, 1115
CMSC132, 0202, Laurence Herman, 34, 1, 0, MWF, 1:00pm - 1:50pm, CSI, 1115
CMSC132, 0203, Laurence Herman, 34, 0, 0, MWF, 1:00pm - 1:50pm, CSI, 1115
CMSC132, 0204, Laurence Herman, 34, 0, 0, MWF, 1:00pm - 1:50pm, CSI, 1115
CMSC132, 0301, Laurence Herman, 30, 3, 0, MWF, 2:00pm - 2:50pm, CSI, 2117
CMSC132, 0302, Laurence Herman, 29, 0, 1, MWF, 2:00pm - 2:50pm, CSI, 2117
CMSC132, 0303, Laurence Herman, 29, 8, 0, MWF, 2:00pm - 2:50pm, CSI, 2117
CMSC216, 0101, Nelson Padua-Perez, 28, 2, 0, TuTh, 9:30am - 10:45am, CSI, 1115
CMSC216, 0102, Nelson Padua-Perez, 28, 0, 0, TuTh, 9:30am - 10:45am, CSI, 1115
CMSC216, 0103, Nelson Padua-Perez, 28, 0, 1, TuTh, 9:30am - 10:45am, CSI, 1115
CMSC216, 0104, Nelson Padua-Perez, 28, 0, 0, TuTh, 9:30am - 10:45am, CSI, 1115
CMSC216, 0201, Nelson Padua-Perez, 28, 0, 0, TuTh, 11:00am - 12:15pm, CSI, 1115
CMSC216, 0202, Nelson Padua-Perez, 28, 0, 1, TuTh, 11:00am - 12:15pm, CSI, 1115
CMSC216, 0203, Nelson Padua-Perez, 28, 0, 1, TuTh, 11:00am - 12:15pm, CSI, 1115
CMSC216, 0204, Nelson Padua-Perez, 28, 0, 0, TuTh, 11:00am - 12:15pm, CSI, 1115
CMSC216, 0301, Nelson Padua-Perez, 28, 0, 0, TuTh, 2:00pm - 3:15pm, CSI, 1115
CMSC216, 0302, Nelson Padua-Perez, 28, 2, 0, TuTh, 2:00pm - 3:15pm, CSI, 1115
CMSC216, 0303, Nelson Padua-Perez, 28, 0, 0, TuTh, 2:00pm - 3:15pm, CSI, 1115
CMSC216, 0304, Nelson Padua-Perez, 28, 0, 0, TuTh, 2:00pm - 3:15pm, CSI, 1115
CMSC250, 0101, Clyde Kruskal, 29, 0, 4, TuTh, 2:00pm - 3:15pm, CSI, 2117
CMSC250, 0102, Clyde Kruskal, 29, 0, 5, TuTh, 2:00pm - 3:15pm, CSI, 2117
CMSC250, 0103, Clyde Kruskal, 29, 0, 3, TuTh, 2:00pm - 3:15pm, CSI, 2117
CMSC250, 0201, Clyde Kruskal, 29, 0, 5, TuTh, 3:30pm - 4:45pm, CSI, 1115
CMSC250, 0202, Clyde Kruskal, 29, 0, 3, TuTh, 3:30pm - 4:45pm, CSI, 1115
CMSC250, 0203, Clyde Kruskal, 29, 0, 3, TuTh, 3:30pm - 4:45pm, CSI, 1115
CMSC250, 0204, Clyde Kruskal, 29, 14, 0, TuTh, 3:30pm - 4:45pm, CSI, 1115
CMSC250, 0301, Thomas Reinhardt, 29, 0, 1, TuTh, 11:00am - 12:15pm, CSI, 3117
CMSC250, 0302, Thomas Reinhardt, 29, 1, 0, TuTh, 11:00am - 12:15pm, CSI, 3117
CMSC250, 0303, Thomas Reinhardt, 29, 0, 5, TuTh, 11:00am - 12:15pm, CSI, 3117
CMSC250, 0101, Thomas Goldstein, 25, 0, 0, TuTh, 12:30pm - 1:45pm, CSI, 3118
CMSC289, 0101, James Reggia, 60, 0, 36, TuTh, 11:00am - 12:15pm, CSI, 2117
CMSC330, 0101, Chau-Wen Tseng, 27, 0, 0, TuTh, 3:30pm - 4:45pm, CSI, 3117
CMSC330, 0102, Chau-Wen Tseng, 27, 0, 0, TuTh, 3:30pm - 4:45pm, CSI, 3117
CMSC330, 0103, Chau-Wen Tseng, 27, 1, 0, TuTh, 3:30pm - 4:45pm, CSI, 3117
CMSC330, 0201, Chau-Wen Tseng, 27, 0, 0, TuTh, 12:30pm - 1:45pm, CSI, 3117
CMSC330, 0202, Chau-Wen Tseng, 27, 0, 1, TuTh, 12:30pm - 1:45pm, CSI, 3117
CMSC330, 0203, Chau-Wen Tseng, 27, 13, 0, TuTh, 12:30pm - 1:45pm, CSI, 3117
CMSC330, 0301, Chau-Wen Tseng, 27, 0, 0, TuTh, 2:00pm - 3:15pm, CSI, 3117
